,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
183,New Mexico,SEV,13,ND - D,15.8025,1.14,-0.16,0.62,-0.5065,-2,0.22917,-0.04429,6.6,NA,NA,0.096,1.0935
184,New Mexico,SEV,14,ND - D,17.56666667,NA,NA,NA,-0.0665,-4,0.00497,-1.74772,17.9,NA,NA,NA,NA
185,New Mexico,SEV,15,ND - D,17.43,-0.41,0.19,0.7,-0.0917,-6,-0.01,1.325,5,2.41,0.45,-0.094,0.3883
186,New Mexico,SEV,16,ND - D,20.2725,-0.06,0.23,-0.34,0.1509,-7,0.59231,4.09333,11.7,4.91,4.67,0.068,-0.0191
187,New Mexico,SEV,17,ND - D,17.525,0.03,-0.07,0.63,0.4376,-1,-0.6619,-1.425,5.6,3.74,2.02,-0.089,1.0276
188,N. Colorado,SGS,1,ND - D,19.295,NA,NA,NA,-0.0292,-2,0.3028,-3.85,5.1,NA,NA,NA,NA
189,N. Colorado,SGS,2,ND - D,18.02875,-1.05,-1.15,-4.13,-1.7852,-14,NA,NA,-12.75,5.5,2.17,0.99,-8.1152
190,N. Colorado,SGS,3,ND - D,19.41166667,NA,NA,NA,0.14,8,0.51696,0.83793,0.6,NA,NA,NA,NA
191,N. Colorado,SGS,4,ND - D,19.6,-1.49,-1.09,-3.54,-0.9096,-14,NA,NA,-20.65,3.1,1.3,0.161,-7.0296
192,N. Colorado,SGS,5,ND - D,17.85166667,2.23,2.19,0.6,-0.3403,11,-0.46,-3.135,-13.1,-1.63,-1.03,0.817,4.6797
